Time,cLE,cRE_measured
113.5,34.9867182802167,54.959215941072
114,34.9819530568883,54.945393514112
114.5,34.9787255997947,54.9841879893166
115,35.0022951307594,54.9598569668385
115.5,35.0101679464207,54.9168426374891
116,35.0086031555406,55.0030922482999
116.5,35.0167215341786,54.968678897124
117,34.993224615523,54.9708644584412
117.5,34.9888681009577,54.9595926597193
118,34.967597239005,54.8970004055896
118.5,34.9364243922442,54.9393825809731
119,35.015543615617,54.9634359648025
119.5,34.9884180999435,55.0242072604131
120,34.9798932890664,54.9785816252429
120.5,35.0100904041909,54.9544917834107
121,35.0095823740882,54.975350838572
121.5,34.9875542611085,54.9896152781333
122,34.9866779302938,54.951843307216
122.5,35.0110270787167,54.9421974032048
123,34.9881497367594,54.9102462449326
123.5,34.9658595854106,55.0006176993515
124,34.991846665714,54.9330784933551
124.5,34.9855612336004,54.948802271241
125,35.011866198173,54.9764829260128
125.5,35.0130041299312,54.9167313335344
126,35.0350484227433,54.9756294461566
126.5,34.991970954657,54.9425914075823
127,35.0011747346528,54.9827863801534
127.5,35.024042196646,55.0028280649694
128,35.0109757998286,54.9708982669496
128.5,34.9712184078975,54.975295411763
129,34.9761371794533,54.9745222842705
129.5,34.9620073085276,54.9743471358376
130,35.0255319256842,54.9147781679595
130.5,34.9939333809396,54.9575643378805
131,35.0219078627735,54.9714891529769
131.5,35.0144560806314,54.9910821080386
132,35.0046683048709,54.9646207189297
132.5,35.024260871263,54.8951439039088
133,34.9851443963168,54.9928263969913
133.5,35.010356114732,55.001261257958
134,35.0008499308759,54.9305809181611
134.5,34.9740562104768,54.9629998716298
135,34.9753396708322,54.9305751927436
135.5,35.0074078943789,54.9758677237374
136,34.9690860959074,54.9368289160243
136.5,35.0429316425198,54.948645254014
137,34.9808448626057,54.952690340248
137.5,34.992803104199,54.9569244156285
138,35.0187721897807,54.9298155975119
138.5,35.005380328153,54.9036359221444
139,35.0139942228687,54.9298512113009
139.5,34.9856242862043,55.0166881056763
140,34.9916660503506,54.8988047895304
140.5,34.9624546383847,54.8927723527415
141,34.9862475122287,54.9701988559795
141.5,34.9917542472972,54.8797271762666
142,35.0144626676423,54.9601597200278
142.5,34.9601589716271,55.018117541621
143,35.0423279779114,54.9352274563914
143.5,34.9955992148058,54.976736005759
144,34.9857273573306,54.9439660898091
144.5,35.0055592586744,54.9284118834256
145,34.9606774325766,54.9584844924283
145.5,34.9707525735066,54.9254873751167
146,34.9371758618328,54.9158207635314
146.5,35.0120850688651,54.9291557588428
147,34.9979660442281,54.9347503296105
147.5,34.9724546495924,54.9056596220556
148,34.9839451538525,54.9378228972244
148.5,34.9820331157587,54.9805393685598
149,35.0280581357914,54.9919936617794
149.5,35.0557967723414,54.9526607252285
150,34.9627194760492,54.9466893106075
150.5,35.0177237054845,54.9497432717508
151,34.9633150554218,54.9835409128568
151.5,35.0060039172159,54.9702913019034
152,34.9863132343248,54.99266137861
152.5,34.9633546180002,54.9239070709802
153,34.9875708155865,54.931781111279
153.5,34.9698966675887,54.9719989744903
154,35.0092958106381,54.9223201549601
154.5,35.0065061732059,55.0034587571464
155,35.0108167045407,54.937949824395
155.5,35.0087911642927,54.9635875969552
156,34.9856654722565,54.9442799071636
156.5,35.009285457694,54.9384170019267
157,35.0026357645503,54.939431315377
157.5,34.9849289594297,54.9310720651495
158,35.0121548765905,54.9189585724321
158.5,35.0103328116821,54.8955744247547
159,35.0050011675055,54.9833098028274
159.5,34.997747599165,54.9204469469361
160,35.0249620502869,54.9282154973368
160.5,35.0164256785486,55.0171763077683
161,34.9709581114554,54.9779037691029
161.5,34.9670064262475,54.9706419184904
162,35.0111462428948,54.9574572554298
162.5,35.0086455627927,54.942749202534
163,34.9665066688001,54.9653796562794
163.5,35.0321633303559,54.9717562424816
164,35.0484288873466,54.932342209132
164.5,34.9850999390035,54.8736159119214
165,34.9911817943052,54.9580533616169
165.5,35.0351296245657,54.9704866326711
166,34.9578542167807,54.9305291563636
166.5,35.0019983258067,54.9392008883665
167,34.9827227987351,54.9903274487682
167.5,35.0088202751528,54.9000137429898
168,34.9790802305689,54.9732556234371
168.5,35.0312030134015,54.9255190597851
169,35.0022696066066,54.9234095121156
169.5,35.0190534041342,54.9785358052946
170,35.0164910318703,54.9731275141876
170.5,34.9719995368772,54.9808111335163
171,34.9737072340713,54.9494099621379
171.5,35.0346318848505,54.9940972553755
172,35.0023894465082,54.9663064982177
172.5,34.9744687483794,54.9879174953972
173,35.0289413687942,54.9996356068754
173.5,35.0165042035072,54.9355571756397
174,34.9598333868796,54.9587450996074
174.5,34.9905029362049,54.96544259263
175,35.0664924292669,54.9955454547819
175.5,35.0374720622365,54.9639672195307
176,34.9967263549017,54.9564768824972
176.5,35.040351648901,54.9218582814663
177,34.9808743644427,54.9750560024976
177.5,34.9849680212992,54.9424111818821
178,34.9786827512019,54.9081701216719
178.5,34.970018864119,54.9460971258648
179,34.9297794274572,54.9977632506693
179.5,34.9790155073737,54.9428081749005
180,35.0240509050672,54.9626903857325
180.5,34.9795764982725,54.9222241407684
181,35.0485745475604,54.8990642871082
181.5,34.9845255457878,55.0125603135909
182,34.9720898741954,54.9752946928961
182.5,34.9645766401596,54.9767892228583
183,34.9987920734784,54.9736374806932
183.5,34.9984608893816,54.9396216110101
184,34.9776717551009,54.9567215135861
184.5,34.9894736369302,54.9696105737676
185,35.0038257939757,54.8538821448676
185.5,34.9805593687909,54.9534030267062
186,35.029261895956,54.9312949331531
186.5,35.0220870588568,54.975137747928
187,34.9995111907955,54.9101948255356
187.5,34.9770185189424,54.9188675304274
188,34.9393534233454,54.9426556909089
188.5,35.0059641005467,54.9498013708366
189,34.9658075132656,54.9545969647109
189.5,35.0396867967571,54.9282889924361
190,35.0006603323787,54.9410045408366
190.5,35.0132038194417,54.9585981208885
191,35.0233424335852,54.9383237856898
191.5,34.9851750424357,55.0056877071311
192,35.0433466205564,54.9995831762842
192.5,35.0472606394258,54.9315211332953
193,34.9987913562632,54.9188704056917
193.5,35.0769492801596,54.9874958295126
194,35.002635824923,54.9166277243145
194.5,35.0267396928103,54.9060537267312
195,35.0282661722307,54.9437710737819
195.5,35.0393530562052,54.9711547285196
196,34.9840226692971,54.9553094774245
196.5,35.0472004154784,54.9493523939846
197,34.9752832456435,54.9529128888326
197.5,34.9984504407253,54.9583006180985
198,35.0123742766508,54.9784453275227
198.5,34.9841918516118,54.9385715008239
199,34.9961433103512,54.9508079071036
199.5,35.0380831593035,54.9279924206072
200,34.9505392095073,54.9222849096961
200.5,35.0348227436955,54.9928495409697
201,35.044955692785,54.9186425076936
201.5,35.0325878330751,54.9804202838636
202,35.0488071727698,54.9139398137488
202.5,35.0148928004339,54.9699682494762
203,35.0133660907799,54.9736252921772
203.5,35.0195731491248,55.01049646567
204,35.0115660421275,54.9498054854891
204.5,35.0375074338678,54.9868352632251
205,35.0342274666258,54.9398736937993
205.5,34.9978205428723,54.937810784621
206,35.0410520368238,54.9295708858649
206.5,35.0561595254491,54.9739539050906
207,35.0260468844947,54.9358679818673
207.5,35.0086875397552,54.9780464176991
208,34.9831085830343,55.0056400623125
208.5,34.9927800463684,54.999605280866
209,34.9786292619544,54.9216819957546
209.5,35.0700614485706,54.9736600716529
210,34.9896032674938,54.9672251056895
210.5,34.9930717183482,54.9204106962889
211,34.9519948221856,54.9736446439688
