Time,fPLSP,cLO_measured
207.5,278.252630889448,14.8846290621912
208,277.969146218753,14.8781977675263
208.5,278.931642177205,14.8823302130704
209,278.316814551064,14.8785761770597
209.5,278.818513964419,14.8823968722749
210,277.94789140949,14.8797111510528
210.5,278.169619957008,14.8809331912367
211,277.303613080908,14.8783368345491
211.5,278.585925927713,14.8783483590503
212,278.26597394935,14.8809767960463
212.5,278.42705760614,14.8762240041359
213,278.132565196574,14.8816483995027
213.5,278.425657902084,14.8734395685856
214,278.683138269853,14.8808367388696
214.5,277.735723725867,14.8828899920554
215,278.018636803122,14.8806152954619
215.5,277.703391791038,14.8773284615283
216,277.609568923055,14.8806514762719
216.5,278.061266123181,14.8778184361668
217,278.156753452553,14.8801135978091
217.5,278.119720540736,14.8850559918891
218,278.154833902906,14.8749509512163
218.5,278.468099179593,14.8828914878998
219,278.97718031877,14.883484575911
219.5,277.309471691542,14.8816460920458
220,278.731066419096,14.8806465151447
220.5,277.849718506212,14.8795375476847
221,277.77451649991,14.8772543857917
221.5,278.081680389325,14.8786510646673
222,277.015381948572,14.8760152272507
222.5,278.682167220143,14.8821296390698
223,277.802762532034,14.8833718483593
223.5,277.88366625675,14.8787527831396
224,277.16412990826,14.8791700504173
224.5,277.435269653876,14.8770463898366
225,278.73842711344,14.883783706661
225.5,278.552197233264,14.8779554530104
226,277.116586660482,14.8807570458614
226.5,278.12987711481,14.8825785748908
227,278.768881337937,14.8812457710287
227.5,278.814675674628,14.8830602329457
228,278.23496474395,14.8805462802708
228.5,277.648148019431,14.8787438607826
229,278.109220294074,14.8810459875106
229.5,277.557368824021,14.8836622350638
230,277.697330332572,14.8793394443087
230.5,278.420102628183,14.8842490958865
231,278.71520718163,14.8818270309286
231.5,278.096336734656,14.8792846432833
232,276.969692135827,14.8810418063529
232.5,278.522365817664,14.8800177248089
233,277.904716772855,14.880608109302
233.5,278.453421236455,14.8785646368391
234,277.499159689572,14.8845013517453
234.5,278.011600623666,14.8806140629727
235,277.861642236852,14.8804662874085
235.5,277.839307438054,14.8775987258426
236,278.316685159201,14.8781776127281
236.5,277.782821406414,14.8722385772612
237,277.760479497191,14.8801053587307
237.5,278.089231239641,14.8807254904897
238,278.567295255111,14.8757379576424
238.5,278.056473723804,14.8793140372043
239,277.845744137746,14.8856352785644
239.5,278.494033997746,14.8831801971267
240,278.818504045747,14.8838866428836
240.5,278.310346200467,14.8847808071871
241,277.795567018618,14.8830414312574
241.5,277.464720145126,14.8775081759894
242,277.480450025474,14.8759375564169
242.5,278.477536690238,14.8758109128003
243,277.315314297433,14.8803128689021
243.5,278.263091936673,14.8813210785274
244,277.745078044247,14.878991901589
244.5,277.464190258214,14.8788672136301
245,277.754215165248,14.8790162617962
245.5,278.102744767378,14.8742335987241
246,278.449085639167,14.8744177688301
