Time,c_LO_measured,c_RE_measured,f_PLSP_measured,f_PLSS_measured,f_LO_measured,f_LE_measured,c_PLS_measured,c_LE_measured,c_RaffP_measured,c_RaffS_measured,c_BO_measured,v_LO_control,v_LO_valve,v_LE_control,v_LE_valve,v_LO_state,v_LE_state,process_state,sensor_LO_state,c_LO_sensor,c_LO_state,c_RE_sensor,ext_efficiency,strip_efficiency,f1_magnitude,f2_magnitude,fault_state
2520,14.87,54.97,278,278,277.85,195.05,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8672012679485,0,54.973148399802,1,1,0,0,0
2550,14.87,54.97,278,278,277.84,195.05,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8671197970988,0,54.9734532628068,1,1,0,0,0
2580,14.87,54.97,278,278,277.83,195.06,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8670383281416,0,54.9737581274821,1,1,0,0,0
2610,14.87,54.97,278,278,277.82,195.06,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8669568610715,0,54.9740629938284,1,1,0,0,0
2640,14.87,54.97,278,278,277.82,195.06,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8668753958886,0,54.9743678618454,1,1,0,0,0
2670,14.87,54.97,278,278,277.81,195.06,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8667939325986,0,54.9746727315333,1,1,0,0,0
2700,14.87,54.97,278,278,277.8,195.07,7,35,0.01,0.01,0.89,0.5,0.5,0.5,0.5,0,0,0,0,14.8667124711938,0,54.9749776028922,1,1,0,0,0
2730,14.87,54.95,278,278,277.83,195,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8704443525816,0,54.9459795426599,1,1,0,0,0
2760,14.87,54.94,278,278,277.84,194.98,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8714151849377,0,54.9379993461975,1,1,0,0,0
2790,14.87,54.94,278,278,277.83,194.97,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8715775370926,0,54.937093701144,1,1,0,0,0
2820,14.87,54.94,278,278,277.83,194.97,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8717320469717,0,54.9363746637325,1,1,0,0,0
2850,14.87,54.94,278,278,277.83,194.96,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8718875214383,0,54.9356522824208,1,1,0,0,0
2880,14.87,54.93,278,278,277.82,194.95,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.872044012898,0,54.9349229722043,1,1,0,0,0
2910,14.87,54.93,278,278,277.82,194.95,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8722015217005,0,54.9341866714994,1,1,0,0,0
2940,14.87,54.93,278,278,277.82,194.94,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8723600479583,0,54.9334433799139,1,1,0,0,0
2970,14.87,54.93,278,278,277.82,194.94,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8725195917957,0,54.9326930980896,1,1,0,0,0
3000,14.87,54.93,278,278,277.82,194.93,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8726801533186,0,54.9319358267079,1,1,0,0,0
3030,14.87,54.93,278,278,277.81,194.93,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8728417326501,0,54.9311715664423,1,1,0,0,0
3060,14.87,54.93,278,278,277.81,194.92,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8730043298987,0,54.9304003179864,1,1,0,0,0
3090,14.87,54.93,278,278,277.81,194.92,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8731679451863,0,54.9296220820333,1,1,0,0,0
3120,14.87,54.93,278,278,277.81,194.91,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8733325786278,0,54.9288368592941,1,1,0,0,0
3150,14.87,54.93,278,278,277.81,194.9,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8734982303475,0,54.9280446504795,1,1,0,0,0
3180,14.87,54.93,278,278,277.8,194.9,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.873664900464,0,54.9272454563114,1,1,0,0,0
3210,14.87,54.93,278,278,277.8,194.89,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8738325890964,0,54.9264392775192,1,1,0,0,0
3240,14.87,54.93,278,278,277.8,194.88,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8740012963698,0,54.92562611484,1,1,0,0,0
3270,14.87,54.92,278,278,277.8,194.88,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8741710224027,0,54.9248059690221,1,1,0,0,0
3300,14.87,54.92,278,278,277.8,194.87,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8743417673217,0,54.9239788408152,1,1,0,0,0
3330,14.87,54.92,278,278,277.8,194.86,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8745135312514,0,54.9231447309852,1,1,0,0,0
3360,14.87,54.92,278,278,277.8,194.86,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8746863143154,0,54.9223036403002,1,1,0,0,0
3390,14.87,54.92,278,278,277.79,194.85,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8748601166457,0,54.9214555695366,1,1,0,0,0
3420,14.88,54.92,278,278,277.79,194.84,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8750349383613,0,54.9206005194869,1,1,0,0,0
3450,14.88,54.92,278,278,277.79,194.83,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8752107795941,0,54.9197384909367,1,1,0,0,0
3480,14.88,54.92,278,278,277.79,194.83,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8753876404697,0,54.9188694846974,1,1,0,0,0
3510,14.88,54.92,278,278,277.79,194.82,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8755655211245,0,54.91799350157,1,1,0,0,0
3540,14.88,54.92,278,278,277.79,194.81,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8757444216867,0,54.9171105423786,1,1,0,0,0
3570,14.88,54.92,278,278,277.79,194.8,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8759243422881,0,54.9162206079483,1,1,0,0,0
3600,14.88,54.92,278,278,277.79,194.79,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8761052830637,0,54.9153236991153,1,1,0,0,0
3630,14.87,54.92,278,278,277.78,194.8,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8746152061183,0,54.9221389900632,1,1,0,0,0
3660,14.87,54.93,278,278,277.76,194.82,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8733652041509,0,54.9315136081973,1,1,0,0,0
3690,14.87,54.93,278,278,277.76,194.82,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8733196685039,0,54.9325491440496,1,1,0,0,0
3720,14.87,54.93,278,278,277.75,194.82,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8733063959305,0,54.9330512533695,1,1,0,0,0
3750,14.87,54.93,278,278,277.75,194.82,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8732913378533,0,54.9335564676601,1,1,0,0,0
3780,14.87,54.93,278,278,277.75,194.81,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8732741300666,0,54.9340803281063,1,1,0,0,0
3810,14.87,54.93,278,278,277.74,194.81,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8732547571278,0,54.9346233157261,1,1,0,0,0
3840,14.87,54.94,278,278,277.74,194.81,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8732332062449,0,54.9351855726705,1,1,0,0,0
3870,14.87,54.94,278,278,277.74,194.81,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8732094646445,0,54.9357672343067,1,1,0,0,0
3900,14.87,54.94,278,278,277.73,194.81,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8731835195609,0,54.9363684359304,1,1,0,0,0
3930,14.87,54.94,278,278,277.73,194.8,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8731553582251,0,54.9369893129412,1,1,0,0,0
3960,14.87,54.94,278,278,277.73,194.8,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8731249678719,0,54.9376300008256,1,1,0,0,0
3990,14.87,54.94,278,278,277.72,194.8,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8730923357395,0,54.9382906351508,1,1,0,0,0
4020,14.87,54.94,278,278,277.72,194.8,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8730574490645,0,54.9389713515893,1,1,0,0,0
4050,14.87,54.94,278,278,277.71,194.8,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8730202950911,0,54.9396722858988,1,1,0,0,0
4080,14.87,54.94,278,278,277.71,194.8,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8729808610558,0,54.9403935739473,1,1,0,0,0
4110,14.87,54.94,278,278,277.71,194.8,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8729391342108,0,54.9411353516765,1,1,0,0,0
4140,14.87,54.94,278,278,277.7,194.8,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8728951017956,0,54.9418977551562,1,1,0,0,0
4170,14.87,54.94,278,278,277.7,194.8,7,35,0.01,0.01,0.88,0.5,0.5,0.5,0.5,0,0,0,0,14.8728487510648,0,54.9426809205356,1,1,0,0,0
