Time,c_LO_measured,c_RE_measured,f_PLSP_measured,f_PLSS_measured,f_LO_measured,f_LE_measured,c_PLS_measured,c_LE_measured,c_RaffP_measured,c_RaffS_measured,c_BO_measured,v_LO_control,v_LO_valve,v_LE_control,v_LE_valve,v_LO_state,v_LE_state,process_state,sensor_LO_state,c_LO_sensor,f6_state,c_RE_sensor,ext_efficiency,strip_efficiency,f1_magnitude,f2_magnitude,fault_state
2550,14.85,55.51,267.53,288.27,279.72,201.56,7.03,35.16,0,0.07,0.9,0.5,0.5,0.51,0.51,0,0,0,0,14.8479564115702,0,55.5109798335193,1,1,0,0,0
2580,14.86,55.4,286.62,279.78,291.85,199.92,7.08,35.12,0,0.04,0.92,0.52,0.52,0.51,0.51,0,0,0,0,14.8589889829883,0,55.4027819602088,1,1,0,0,0
2610,14.85,55.61,275.97,292.45,280.71,202.15,7.01,35.13,0.06,0.01,0.89,0.51,0.51,0.51,0.51,0,0,0,0,14.8478894245021,0,55.6130221827421,1,1,0,0,0
2640,14.93,55.16,278.59,285.26,283.02,202.02,7.01,35.15,0,0,0.89,0.51,0.51,0.51,0.51,0,0,0,0,14.9323710391932,0,55.1552189382984,1,1,0,0,0
2670,14.8,55.67,286.32,288.35,286.73,202.94,6.99,35.15,0,0.02,0.95,0.52,0.52,0.51,0.51,0,0,0,0,14.7965858363755,0,55.6680176912501,1,1,0,0,0
2700,15.11,54.82,275.51,285.84,276.07,191.75,6.95,35.12,0.01,0,0.9,0.5,0.5,0.51,0.51,0,0,0,0,15.1132788173336,0,54.8230518066962,1,1,0,0,0
2730,14.78,55.56,283.51,285.05,285.18,195.87,7.02,35.18,0,0.07,0.95,0.51,0.51,0.52,0.52,0,0,0,0,14.7843572194045,0,55.5552793319935,1,1,0,0,0
2760,14.88,55.15,278.32,290.01,286.82,197.06,7.06,35.16,0,0,0.85,0.52,0.52,0.51,0.51,0,0,0,0,14.8832444207007,0,55.1526802394963,1,1,0,0,0
2790,14.88,55.22,277.7,289,279.98,198.7,7.09,35.13,0.04,0.02,0.89,0.52,0.52,0.51,0.51,0,0,0,0,14.8751746286684,0,55.222693256897,1,1,0,0,0
2820,14.87,55.25,283.53,292.72,289.46,192.89,7.03,35.13,0.08,0,0.89,0.52,0.52,0.51,0.51,0,0,0,0,14.8713923753675,0,55.2488310656885,1,1,0,0,0
2850,14.76,55.42,282.93,283.07,285.62,195.7,7.02,35.1,0.02,0,0.95,0.51,0.51,0.51,0.51,0,0,0,0,14.7616398767483,0,55.4249956851113,1,1,0,0,0
2880,14.86,55.18,274.1,283.16,282.32,202.57,6.97,35.13,0.04,0,0.91,0.5,0.5,0.51,0.51,0,0,0,0,14.8601139332342,0,55.1834121770186,1,1,0,0,0
2910,14.84,55.36,276.96,290.36,282.24,202.99,7.02,35.11,0.03,0.02,0.87,0.51,0.51,0.51,0.51,0,0,0,0,14.8370421940901,0,55.3560056995023,1,1,0,0,0
